#{"t_start": 1541189235.5067694, "env_id": "DartBlockPush-v0"}
r,l,t
0.621459,3,7.499646
0.441966,3,8.13935
0.68444,3,8.662646
0.802497,3,9.279086
0.902151,3,9.819058
0.55484,3,10.317964
0.750019,3,10.888542
0.485719,3,11.411195
0.16619,3,11.92417
0.515009,3,12.497231
0.436772,3,13.015526
0.076168,3,13.540715
0.401011,3,14.138083
0.528403,3,14.633895
0.021482,3,15.154545
0.522171,3,15.675293
0.545585,3,16.254987
0.506346,3,16.767831
0.445023,3,17.301345
0.196101,3,17.904028
-0.08214,3,18.408048
0.422548,3,18.931156
0.070685,3,19.566035
0.487102,3,20.144492
0.543747,3,20.645774
0.466779,3,21.240488
0.338328,3,21.771443
0.876121,3,22.314211
0.4887,3,22.91278
0.169727,3,23.502813
0.550939,3,24.004806
0.598183,3,24.64146
0.165408,3,25.197583
0.066096,3,25.723568
0.451758,3,26.241124
0.907786,3,26.852932
0.485238,3,27.379318
0.335771,3,27.923681
0.7758,3,28.546936
0.593249,3,29.057177
0.638537,3,29.574742
0.483385,3,30.182669
0.795543,3,35.077439
0.55206,3,35.627095
0.095517,3,36.211742
0.699028,3,36.755074
0.351124,3,37.288283
0.115085,3,37.855229
0.24904,3,38.351436
0.825654,3,38.870308
0.524344,3,39.444646
0.199675,3,40.003988
0.170001,3,40.543688
0.209214,3,41.071616
0.548186,3,41.710599
0.681837,3,42.250009
-0.011976,3,42.818719
0.730162,3,43.429031
0.149242,3,43.964903
0.675854,3,44.469258
0.249321,3,45.066089
0.083655,3,45.566878
0.816514,3,46.095697
0.693018,3,46.738991
0.775411,3,47.260185
0.662155,3,47.78462
0.472334,3,48.420799
0.202214,3,48.943484
0.56443,3,49.445309
-0.21369,3,49.978187
0.285593,3,50.62132
0.113149,3,51.178235
0.273711,3,51.736174
0.379136,3,52.329878
0.212198,3,52.832102
0.691955,3,53.332454
0.352891,3,53.945698
0.50147,3,54.45353
0.215236,3,55.05395
0.416838,3,55.675589
0.574975,3,56.182445
0.750672,3,56.709996
0.06588,3,57.297518
0.772414,3,57.832303
0.271184,3,58.35609
0.712729,3,59.492245
0.571201,3,60.038068
0.922108,3,60.571805
0.51573,3,61.093474
0.472413,3,61.701061
-0.340363,3,62.234569
0.711848,3,62.759892
0.510562,3,63.353895
0.165486,3,63.896088
0.492227,3,64.434934
0.313531,3,65.082538
0.255046,3,65.653015
0.731709,3,66.194878
0.854427,3,66.797085
0.689719,3,67.334171
0.30805,3,67.888517
0.816891,3,68.400386
0.621933,3,69.038594
-0.098531,3,69.528501
0.455248,3,70.065505
0.474191,3,70.702375
-0.205313,3,71.242825
0.725398,3,71.802407
0.835441,3,72.479038
0.384664,3,73.049485
0.609847,3,73.588274
0.381335,3,74.214289
0.440344,3,74.769562
0.502721,3,75.283041
0.545328,3,75.876458
0.079666,3,76.429668
0.210121,3,76.998147
0.56547,3,77.606553
0.223417,3,78.167666
0.398814,3,78.711664
0.850791,3,79.334701
0.825497,3,79.889772
0.235409,3,80.427346
0.69164,3,80.957892
0.791793,3,81.554006
0.334101,3,82.074756
0.489604,3,82.578144
0.444094,3,83.161159
0.716702,3,84.27735
0.272727,3,84.781101
0.228759,3,85.362251
0.290961,3,85.86314
0.259821,3,86.423927
0.895691,3,87.02596
0.883419,3,87.563431
0.3768,3,88.123197
0.616639,3,88.696173
0.678268,3,89.215777
0.525515,3,89.748766
0.159352,3,90.356421
0.20425,3,90.914435
0.785596,3,91.446054
0.648675,3,91.973184
0.743043,3,92.58546
0.726391,3,93.108396
0.444197,3,93.625193
0.402734,3,94.234087
-0.00312,3,94.753136
0.621267,3,95.291897
0.610788,3,95.923133
0.661594,3,96.48147
0.011634,3,97.002768
0.878715,3,97.60222
0.675206,3,98.185201
0.769533,3,98.733137
0.520207,3,99.379062
0.915838,3,99.934727
0.502277,3,100.480026
-0.080091,3,101.102797
0.767889,3,101.624223
0.509342,3,102.178885
0.332649,3,102.77549
0.505219,3,103.28498
0.564042,3,103.819428
0.758469,3,104.360029
0.585861,3,104.978595
0.187937,3,105.550411
0.480951,3,106.079949
0.181024,3,106.726006
-5.2e-05,3,107.277061
0.896476,3,108.39276
0.505129,3,109.008463
-0.144514,3,109.564944
-0.052948,3,110.085493
0.667176,3,110.726388
0.362806,3,111.289925
0.351172,3,111.877944
0.497214,3,112.495116
0.34993,3,113.028864
0.809134,3,113.539123
0.290692,3,114.075621
-0.225435,3,114.684301
0.525518,3,115.2904
0.582418,3,115.810459
-0.141426,3,116.432192
-0.019544,3,116.953148
-0.239431,3,117.492732
0.734941,3,118.097862
0.001106,3,118.618279
0.774336,3,119.151054
0.417869,3,119.767467
0.325716,3,120.307608
0.179612,3,120.842998
0.369275,3,121.439936
0.354241,3,121.970603
0.895568,3,122.536763
0.170974,3,123.106958
0.366946,3,123.64703
0.53594,3,124.214768
0.658479,3,124.846642
0.533295,3,125.396237
0.493685,3,125.926318
0.519953,3,126.446913
0.775854,3,127.061867
0.475899,3,127.622414
0.053745,3,128.19087
0.544864,3,128.795644
0.402914,3,129.310066
0.483113,3,129.853704
-0.008169,3,130.447309
-0.159611,3,131.015559
0.126087,3,131.622677
0.465602,3,132.256684
0.035997,3,133.375831
-0.043643,3,133.899632
0.877824,3,134.537023
-0.026247,3,135.038651
0.404435,3,135.547895
0.35357,3,136.121832
0.863929,3,136.716828
0.353861,3,137.240008
0.620987,3,137.770269
0.013719,3,138.373155
0.767967,3,138.951387
0.392582,3,139.475002
0.104895,3,140.127827
0.358874,3,140.689106
0.857366,3,141.269378
0.200345,3,141.863958
0.594861,3,142.377306
0.425643,3,142.923033
0.783359,3,143.499362
0.726427,3,144.030684
0.251619,3,144.57223
0.494444,3,145.191532
0.493506,3,145.731066
0.242386,3,146.254373
0.64334,3,146.857677
0.561429,3,147.368999
0.107453,3,147.885453
0.871619,3,148.400545
0.639635,3,149.045099
0.095668,3,149.574389
0.69069,3,150.092269
0.800368,3,150.716901
0.516403,3,151.246604
0.341809,3,151.794777
0.71013,3,152.385533
0.352784,3,152.925058
0.619553,3,153.48378
-0.164549,3,154.086189
-0.203844,3,154.606143
0.7421,3,155.156469
0.437759,3,155.762757
0.494728,3,156.343064
0.655336,3,156.858102
0.898087,3,157.943679
0.51867,3,158.581751
0.309123,3,159.097731
0.370593,3,159.622113
0.446435,3,160.250319
0.167058,3,160.771741
0.177457,3,161.367602
