#{"t_start": 1541189235.4830322, "env_id": "DartBlockPush-v0"}
r,l,t
0,2,7.293856
0.169256,3,7.947926
0.218968,3,8.476784
0.595559,3,9.092884
0.406929,3,9.657813
0.664702,3,10.153966
0.107946,3,10.733205
-0.146527,3,11.227758
0.558789,3,11.753813
0.468969,3,12.262286
0.801033,3,12.845153
0.51015,3,13.350218
-0.39507,3,13.875505
0.829597,3,14.472699
0.265982,3,14.988752
0.388286,3,15.503903
0.228368,3,16.081022
0.639466,3,16.598475
0.285671,3,17.134407
0.585528,3,17.725198
0.666801,3,18.245537
0.165109,3,18.757324
0.80797,3,19.36905
0.377683,3,19.947207
0.784953,3,20.478887
0.903034,3,21.073847
0.734554,3,21.60109
0.500657,3,22.146812
0.611035,3,22.660791
0.755636,3,23.316102
0.170219,3,23.838588
0.851135,3,24.365232
0.514924,3,25.025833
0.62432,3,25.537333
0.652885,3,26.074192
0.316273,3,26.671633
0.193761,3,27.211318
0.384039,3,27.726981
0.750021,3,28.348843
0.516879,3,28.882188
0.394897,3,29.406148
0.408203,3,30.008843
0.716708,3,30.549807
0.480705,3,35.451026
0.032894,3,36.041096
0.21794,3,36.578896
0.698833,3,37.116317
0.358915,3,37.618211
0.309392,3,38.189323
0.232579,3,38.692359
0.556415,3,39.209097
-0.046791,3,39.797734
0.581471,3,40.370091
0.564925,3,40.889144
0.190438,3,41.510606
0.190724,3,42.059839
0.62924,3,42.616068
0.416704,3,43.268844
0.667543,3,43.786421
0.465161,3,44.308173
0.492515,3,44.895597
0.569497,3,45.400114
0.683393,3,45.908739
0.645734,3,46.480946
0.460272,3,47.07486
0.351408,3,47.616449
0.397733,3,48.155231
0.496791,3,48.776526
0.617758,3,49.284265
0.536859,3,49.811994
0.818036,3,50.41656
0.485398,3,51.003525
0.497669,3,51.544462
0.279583,3,52.16102
0.066021,3,52.660778
0.085856,3,53.172643
0.130114,3,53.755424
0.734921,3,54.285387
0.371199,3,54.859955
0.651808,3,55.489223
0.782056,3,56.023337
0.296404,3,56.531119
0.090632,3,57.054105
0.924643,3,57.649752
0.104499,3,58.177123
0.097896,3,59.236703
0.87313,3,59.854482
0.285202,3,60.383224
-0.068282,3,60.93812
0.27117,3,61.520672
0.676928,3,62.048008
0.67934,3,62.578848
0.180855,3,63.168022
0.401664,3,63.710655
0.422756,3,64.249853
0.667374,3,64.883801
0.652188,3,65.448547
0.05169,3,66.03509
0.803069,3,66.547089
0.317629,3,67.159213
0.786805,3,67.694215
0.494076,3,68.226636
0.607476,3,68.849263
0.054009,3,69.36745
0.704715,3,69.895073
0.720919,3,70.484276
0.854875,3,71.048502
0.681317,3,71.603155
0.638963,3,72.290504
0.340554,3,72.859285
0.574667,3,73.397573
0.288028,3,74.039596
0.123645,3,74.577056
-0.046477,3,75.120723
0.340358,3,75.701224
0.045455,3,76.26028
0.524426,3,76.808134
0.434886,3,77.355846
0.458488,3,77.984818
0.147375,3,78.531171
0.142055,3,79.055129
0.563053,3,79.718681
0.460447,3,80.245634
0.368759,3,80.78003
0.934907,3,81.380765
0.826261,3,81.902359
0.231809,3,82.408223
0.197691,3,82.99777
0.172523,3,84.10337
0.782769,3,84.62035
-0.0744,3,85.18955
0.618954,3,85.70356
0.741251,3,86.245569
0.672269,3,86.85376
0.196274,3,87.382787
0.217699,3,87.932495
0.547393,3,88.463421
0.049206,3,89.033563
0.160414,3,89.570724
0.02241,3,90.08683
0.517146,3,90.718679
0.430297,3,91.280205
0.820391,3,91.800269
0.152147,3,92.40121
0.613785,3,92.944255
0.594437,3,93.461207
0.871239,3,94.060401
0.683069,3,94.584275
0.35345,3,95.101794
0.281694,3,95.75007
0.024636,3,96.298418
0.319097,3,96.825082
0.524245,3,97.423506
0.270814,3,97.970156
0.164497,3,98.543073
0.433928,3,99.180175
0.541846,3,99.755522
-0.112565,3,100.293142
0.259979,3,100.838606
-0.300524,3,101.44745
-0.085365,3,101.977257
0.16456,3,102.538075
0.5265,3,103.120311
0.579242,3,103.618335
0.650435,3,104.182898
0.416397,3,104.792466
0.352509,3,105.34035
-0.250314,3,105.889205
0.442481,3,106.529048
0.854158,3,107.094746
0.692204,3,107.656019
0.504993,3,108.8187
0.475222,3,109.396426
0.622529,3,109.89891
0.059355,3,110.538738
0.779993,3,111.101833
0.198649,3,111.689641
0.164484,3,112.229331
0.494062,3,112.86184
0.756395,3,113.373834
0.793497,3,113.904662
0.442474,3,114.517711
0.354879,3,115.056219
0.639845,3,115.647444
0.671488,3,116.251184
0.128519,3,116.776147
0.178795,3,117.312562
0.443199,3,117.918329
-0.019364,3,118.445686
0.512647,3,118.981805
0.744991,3,119.578248
0.606199,3,120.128763
0.126785,3,120.669083
0.345229,3,121.184669
0.471756,3,121.78685
0.702687,3,122.348247
0.586825,3,122.878297
0.567316,3,123.463089
0.535043,3,124.008851
0.69579,3,124.602443
0.134857,3,125.21426
0.520673,3,125.763938
0.271733,3,126.275376
0.4101,3,126.877024
0.39219,3,127.445185
0.778606,3,127.993588
-0.290322,3,128.60822
0.564883,3,129.148381
0.672397,3,129.691668
0.374687,3,130.267938
0.417161,3,130.817814
0.256638,3,131.412748
0.901511,3,131.991076
0.263809,3,133.176611
0.110235,3,133.726263
-0.148068,3,134.258115
0.668473,3,134.865957
-0.143592,3,135.385638
0.62543,3,135.910823
0.303098,3,136.544428
0.711132,3,137.075308
0.483766,3,137.59138
0.253321,3,138.182662
0.414938,3,138.736046
0.592853,3,139.300226
0.349007,3,139.914976
0.77877,3,140.500248
0.522233,3,141.063173
0.248401,3,141.699268
0.503693,3,142.201553
0.660573,3,142.740612
0.558147,3,143.269568
0.054193,3,143.861251
0.23634,3,144.401702
0.56025,3,144.946765
-0.039676,3,145.536348
0.366619,3,146.074534
0.515231,3,146.614786
0.425847,3,147.203599
0.071348,3,147.736059
0.083728,3,148.237258
0.40406,3,148.880657
0.105125,3,149.414861
0.365466,3,149.911163
0.359819,3,150.507248
0.676457,3,151.067666
0.09035,3,151.599996
0.693597,3,152.211831
0.240805,3,152.756638
0.032734,3,153.288963
0.605682,3,153.844189
0.122181,3,154.428624
0.724589,3,154.952255
0.648835,3,155.513079
0.046104,3,156.160477
0.546426,3,156.691225
-0.181398,3,157.761949
0.929125,3,158.390984
-0.143972,3,158.932744
0.709781,3,159.441797
0.199107,3,160.062542
0.403784,3,160.607819
0.527823,3,161.151222
0.349165,3,161.80889
0.019823,3,162.374978
0.761457,3,162.950829
0.200898,3,163.563617
0.76731,3,164.08055
0.319573,3,164.586864
0.258447,3,165.150541
0.192023,3,165.734478
0.625617,3,166.269076
0.371701,3,166.788616
0.696579,3,167.375954
0.656257,3,167.887041
0.672253,3,168.479389
0.474916,3,169.119174
0.343146,3,169.690724
0.271633,3,170.244101
0.881194,3,170.875075
-0.108589,3,171.443053
0.454918,3,171.98496
0.701644,3,172.624944
0.12689,3,173.199018
0.057935,3,173.743443
0.899059,3,174.34025
0.572414,3,174.880222
0.598208,3,175.442756
0.021564,3,175.979176
0.478826,3,176.59721
0.252771,3,177.155171
0.742114,3,177.695704
0.468441,3,178.284932
0.264424,3,178.832524
0.309886,3,179.357237
0.679015,3,179.946173
0.700355,3,180.489006
0.614018,3,181.037999
0.292673,3,181.643046
0.366718,3,182.725792
0.48691,3,183.27471
0.014184,3,183.869666
0.41815,3,184.416598
0.673932,3,184.994021
0.5244,3,185.58642
0.568749,3,186.164213
0.314522,3,186.73815
0.360047,3,187.335321
0.839467,3,187.935838
0.573815,3,188.438749
0.596648,3,188.982548
-0.156285,3,189.594718
0.589461,3,190.138525
0.275336,3,190.687259
0.179019,3,191.280507
0.627921,3,191.825991
0.61636,3,192.346622
0.4714,3,192.955954
0.275898,3,193.498594
0.455419,3,194.035475
0.009058,3,194.655933
0.447046,3,195.196716
0.601223,3,195.7296
0.363791,3,196.362603
0.366619,3,196.888602
0.133588,3,197.414856
0.719601,3,198.050105
0.262805,3,198.618012
0.602441,3,199.138952
