#{"t_start": 1541189235.4604826, "env_id": "DartBlockPush-v0"}
r,l,t
0,1,7.023969
0.152624,3,7.696316
0.299659,3,8.309608
0.276314,3,8.840957
0.167161,3,9.467147
0.415936,3,9.98736
-0.022117,3,10.499161
0.275695,3,11.064744
0.474165,3,11.580832
0.209014,3,12.096692
0.306171,3,12.672393
0.574309,3,13.180436
0.655328,3,13.720208
0.598396,3,14.307162
0.082913,3,14.812268
0.496278,3,15.326632
0.36131,3,15.917955
0.238722,3,16.417647
0.911191,3,16.942184
0.320536,3,17.547329
0.319255,3,18.073459
0.937597,3,18.593651
0.367041,3,19.120874
0.661434,3,19.742688
0.764174,3,20.316425
0.035938,3,20.820409
0.283608,3,21.429903
0.345527,3,21.94502
0.715819,3,22.491586
0.446195,3,23.135541
0.387697,3,23.680157
0.313403,3,24.181149
0.963037,3,24.834617
0.747258,3,25.358397
0.278205,3,25.890248
0.913162,3,26.4998
0.50779,3,27.024291
0.719775,3,27.567216
0.377814,3,28.182901
0.565222,3,28.716059
0.214554,3,29.230968
0.116449,3,29.744277
0.343076,3,30.358447
0.536874,3,35.260999
0.328408,3,35.803699
0.289197,3,36.406863
0.119681,3,36.929259
0.608566,3,37.456276
-0.015425,3,38.022893
0.022798,3,38.534845
-0.284319,3,39.042906
-0.195154,3,39.617697
0.197857,3,40.176606
0.667513,3,40.727695
0.094762,3,41.334861
0.533249,3,41.885184
-0.010582,3,42.441607
0.425105,3,43.015391
0.569928,3,43.611893
0.412391,3,44.13612
0.489051,3,44.640499
0.977525,3,45.235916
0.355194,3,45.742512
0.015599,3,46.296841
0.468096,3,46.914172
0.580505,3,47.442946
0.40336,3,47.967873
0.847056,3,48.592673
0.617361,3,49.115914
0.525188,3,49.64823
0.432977,3,50.227732
0.018395,3,50.795328
0.757078,3,51.358311
0.462097,3,51.987002
0.344642,3,52.500331
0.241198,3,53.001074
0.264977,3,53.505578
0.342729,3,54.118425
-0.164966,3,54.671552
-0.019637,3,55.247334
0.605304,3,55.846145
0.912706,3,56.357199
0.159367,3,56.889913
0.793514,3,57.490302
0.574512,3,58.01136
0.621461,3,58.547831
0.630288,3,59.682208
0.752092,3,60.209843
0.296918,3,60.743181
0.60999,3,61.329099
0.240652,3,61.873635
0.194102,3,62.406779
0.450216,3,62.931427
0.329591,3,63.531006
0.625907,3,64.083028
0.814236,3,64.63591
0.348766,3,65.276339
0.494014,3,65.839173
0.530546,3,66.361487
0.035886,3,66.984949
0.63728,3,67.517041
0.593954,3,68.064165
0.267734,3,68.687435
0.219337,3,69.211189
0.644543,3,69.703118
0.588232,3,70.313562
-0.103847,3,70.880286
0.490675,3,71.417066
0.142113,3,72.025762
0.771552,3,72.655333
0.279661,3,73.223737
0.667446,3,73.785367
-0.139869,3,74.405682
0.26442,3,74.96061
0.568056,3,75.457402
0.770249,3,76.065019
0.5272,3,76.612689
0.525163,3,77.17342
0.384087,3,77.815134
0.692505,3,78.351422
0.647289,3,78.891546
0.469463,3,79.541521
0.595585,3,80.072152
0.343562,3,80.61888
0.544398,3,81.216095
0.2731,3,81.743984
0.619572,3,82.246016
0.229356,3,82.748016
0.479089,3,83.894172
0.672891,3,84.446355
0.585871,3,84.954419
0.527503,3,85.537526
0.757926,3,86.048217
0.682904,3,86.600776
0.887298,3,87.201832
0.653614,3,87.73708
0.670563,3,88.296899
0.309005,3,88.865087
0.62389,3,89.400529
0.360657,3,89.925141
0.200229,3,90.550044
0.378374,3,91.104116
0.527143,3,91.626906
0.582766,3,92.225222
0.391025,3,92.769284
0.677606,3,93.288178
0.529328,3,93.862742
0.832095,3,94.426581
0.784815,3,94.928715
0.054378,3,95.465107
0.519676,3,96.116436
0.585968,3,96.660862
-0.063613,3,97.179912
0.230278,3,97.778208
0.536667,3,98.359316
0.720287,3,98.910733
0.924579,3,99.588992
0.454279,3,100.12127
0.220104,3,100.66919
0.494056,3,101.270688
-0.396202,3,101.813794
0.260125,3,102.364196
0.280444,3,102.956593
0.430637,3,103.458715
0.381979,3,104.012165
0.520304,3,104.607879
0.784119,3,105.161067
0.132471,3,105.719037
-0.158116,3,106.26823
0.865478,3,106.91527
0.624602,3,107.486895
0.670093,3,108.577953
0.744636,3,109.196441
0.898266,3,109.742326
0.67348,3,110.267852
0.106048,3,110.895062
0.514276,3,111.472523
0.437027,3,112.056838
0.899592,3,112.677007
0.169756,3,113.200983
0.205711,3,113.716638
0.855738,3,114.337797
0.612993,3,114.875562
0.690339,3,115.47302
-0.048376,3,116.069791
0.450334,3,116.609892
0.429454,3,117.140372
0.420045,3,117.673626
0.311989,3,118.269104
0.58662,3,118.807684
0.790615,3,119.329691
0.337576,3,119.946383
0.561096,3,120.489939
0.155581,3,121.012839
0.744101,3,121.614468
0.102267,3,122.161158
0.624383,3,122.709857
0.171172,3,123.279629
0.070643,3,123.821367
0.599646,3,124.398439
0.84517,3,125.037593
0.534899,3,125.575886
0.572479,3,126.105272
0.402546,3,126.698361
0.428332,3,127.269347
0.647107,3,127.817264
0.153784,3,128.361363
0.555978,3,128.988145
0.883449,3,129.50133
0.19522,3,130.041051
0.636737,3,130.652782
0.404927,3,131.222139
0.263121,3,131.815274
0.63002,3,132.436334
0.266231,3,133.557932
0.488537,3,134.079066
0.572392,3,134.700183
0.322134,3,135.215702
0.452931,3,135.732717
0.464868,3,136.363051
0.873532,3,136.886624
0.522655,3,137.425209
0.365773,3,138.022886
0.12071,3,138.562609
0.210104,3,139.125834
0.399638,3,139.650806
0.405981,3,140.33297
-0.217887,3,140.873994
0.337034,3,141.453797
0.880046,3,142.03789
-0.06908,3,142.551123
-0.134438,3,143.101964
-0.143596,3,143.676704
0.324481,3,144.204256
0.300487,3,144.755876
0.72071,3,145.357766
0.400833,3,145.904047
0.233892,3,146.450577
0.3801,3,147.030717
0.052815,3,147.551044
0.63254,3,148.072535
0.399089,3,148.676445
0.704951,3,149.218817
0.589942,3,149.743318
0.542931,3,150.275723
0.159612,3,150.883698
0.296407,3,151.419565
0.150606,3,151.961781
0.63153,3,152.573794
0.043614,3,153.109138
0.603624,3,153.685351
0.391946,3,154.266804
0.188178,3,154.78112
0.369821,3,155.330584
0.865053,3,155.955472
0.398731,3,156.522768
0.625327,3,157.582633
0.437293,3,158.19329
0.676267,3,158.761372
0.313622,3,159.266067
0.280341,3,159.884498
0.234422,3,160.428003
0.68557,3,160.95445
0.615582,3,161.571024
0.818571,3,162.199468
0.442118,3,162.760338
0.79393,3,163.302554
0.447258,3,163.916592
0.839209,3,164.414595
0.114648,3,164.946638
-0.200573,3,165.573915
0.613928,3,166.094984
0.492635,3,166.616284
-0.070134,3,167.203483
0.516881,3,167.72862
0.88275,3,168.263716
-0.14272,3,168.935697
0.206605,3,169.503184
0.182936,3,170.05002
0.130023,3,170.683599
0.919389,3,171.261868
0.335841,3,171.800103
0.87536,3,172.385805
-0.084544,3,172.984241
0.10036,3,173.547173
0.721082,3,174.111496
0.230291,3,174.708117
0.588977,3,175.257573
0.5236,3,175.801575
0.281597,3,176.42037
0.518181,3,176.976183
0.756078,3,177.523024
0.411103,3,178.127585
0.584441,3,178.654035
0.831676,3,179.189933
0.5668,3,179.776597
0.316031,3,180.304497
0.142563,3,180.832457
0.482434,3,181.40999
0.425581,3,182.558036
0.956516,3,183.101594
0.356671,3,183.61669
0.525117,3,184.219898
0.694763,3,184.819945
0.706476,3,185.339675
0.720777,3,185.979632
0.496957,3,186.557749
