#{"t_start": 1542043951.9242494, "env_id": "DartBlockPush-v0"}
r,l,t
0.566498,3,6.79757
0.5275,3,6.888999
0.568716,3,7.014038
0.508229,3,7.103601
0.755107,3,7.218208
0.799828,3,7.28449
0.585245,3,7.377418
0.798946,3,7.481556
0.686682,3,7.596001
0.738933,3,7.693893
0.344445,3,7.804886
0.763064,3,7.903442
0.351463,3,7.993782
0.811146,3,8.096763
0.859851,3,8.182154
0.56642,3,8.274804
0.854163,3,8.397553
0.659597,3,8.504664
0.682755,3,8.612905
0.844439,3,8.680126
0.370231,3,8.802105
0.570588,3,8.869824
0.797967,3,8.980669
0.776275,3,9.057645
0.851972,3,9.181396
0.806191,3,9.265808
0.36821,3,9.388967
0.50141,3,9.474605
0.839542,3,9.564506
0.731498,3,9.70081
0.266498,3,9.850449
0.842399,3,9.96074
0.652316,3,10.063719
0.628036,3,10.150343
0.224711,3,10.268436
0.60461,3,10.354964
0.675973,3,10.454542
0.885179,3,10.529013
0.810268,3,10.618254
0.785107,3,10.692176
0.493024,3,10.786913
0.818503,3,10.872449
0.643676,3,49.749793
0.227407,3,49.831162
0.730094,3,49.933853
0.790311,3,50.033195
0.471657,3,50.143341
0.82136,3,50.225127
0.788996,3,50.309822
0.61555,3,50.393503
0.566611,3,50.510882
0.674693,3,50.609468
0.878017,3,50.73184
0.794763,3,50.816598
0.571594,3,50.92524
0.956325,3,51.021305
0.827953,3,51.102458
0.473524,3,51.195447
0.932315,3,51.310214
0.634902,3,51.411211
0.608156,3,51.52123
0.917591,3,51.705173
0.7465,3,51.804995
0.877353,3,51.91169
0.724486,3,52.026518
0.9004,3,52.142603
0.70357,3,52.226797
0.585772,3,52.33931
0.524864,3,52.453294
0.507272,3,52.556972
0.874165,3,52.643658
0.938876,3,52.777859
0.628076,3,52.889795
0.60245,3,53.002515
0.834825,3,53.119828
0.748432,3,53.235311
0.599745,3,53.323794
0.826952,3,53.430625
0.62964,3,53.559857
0.795516,3,53.661461
0.316226,3,53.762248
0.678532,3,53.882646
0.411503,3,53.974717
0.957791,3,54.078343
0.391727,3,89.210104
0.820468,3,89.304922
0.7563,3,89.38886
0.833629,3,89.487149
0.418681,3,89.593357
0.797931,3,89.690504
0.787342,3,89.781678
0.714897,3,89.898412
0.3334,3,90.000727
0.811533,3,90.089075
0.728217,3,90.211804
0.917407,3,90.294459
0.675751,3,90.390821
0.823814,3,90.553559
0.689303,3,90.639822
0.764555,3,90.748289
0.777774,3,90.849382
0.465157,3,90.953204
0.839762,3,91.063329
0.484792,3,91.151632
0.510804,3,91.285429
0.734291,3,91.368495
0.748196,3,91.488246
0.852062,3,91.587823
0.820824,3,91.701744
0.580698,3,91.817342
0.627393,3,91.922271
0.444699,3,92.02071
0.727564,3,92.130903
0.753611,3,92.227074
0.842446,3,92.3221
0.52588,3,92.418824
0.614751,3,92.542959
0.889941,3,92.652982
0.796018,3,92.728461
0.434582,3,92.823899
0.688322,3,92.904786
0.799802,3,93.004943
0.79216,3,93.12232
0.835633,3,93.238861
0.744884,3,93.341502
0.790939,3,93.455285
