#{"t_start": 1542043952.9265757, "env_id": "DartBlockPush-v0"}
r,l,t
0.566498,3,5.78594
0.5275,3,5.896306
0.568716,3,6.000484
0.508229,3,6.110967
0.755107,3,6.206116
0.799828,3,6.291739
0.585245,3,6.365159
0.798946,3,6.489056
0.686682,3,6.582774
0.738933,3,6.702034
0.344445,3,6.792876
0.763064,3,6.911527
0.351463,3,6.981175
0.811146,3,7.105189
0.859851,3,7.170233
0.56642,3,7.28211
0.854163,3,7.385306
0.659597,3,7.511979
0.682755,3,7.601462
0.844439,3,7.687393
0.370231,3,7.790348
0.570588,3,7.877069
0.797967,3,7.966459
0.776275,3,8.065182
0.851972,3,8.168987
0.806191,3,8.273616
0.36821,3,8.376161
0.50141,3,8.48388
0.839542,3,8.55187
0.731498,3,8.708014
0.266498,3,8.839456
0.842399,3,8.969666
0.652316,3,9.051426
0.628036,3,9.15784
0.224711,3,9.255273
0.60461,3,9.362581
0.675973,3,9.442125
0.885179,3,9.536068
0.810268,3,9.6055
0.785107,3,9.699956
0.493024,3,9.775117
0.818503,3,9.880474
0.643676,3,48.738419
0.227407,3,48.835698
0.730094,3,48.927613
0.790311,3,49.034075
0.471657,3,49.135836
0.82136,3,49.226596
0.788996,3,49.303362
0.61555,3,49.39705
0.566611,3,49.500868
0.674693,3,49.612732
0.878017,3,49.723335
0.794763,3,49.820526
0.571594,3,49.916382
0.956325,3,50.024452
0.827953,3,50.093907
0.473524,3,50.198547
0.932315,3,50.301389
0.634902,3,50.41654
0.608156,3,50.512762
0.917591,3,50.706438
0.7465,3,50.795982
0.877353,3,50.914808
0.724486,3,51.018528
0.9004,3,51.144829
0.70357,3,51.217132
0.585772,3,51.342695
0.524864,3,51.442026
0.507272,3,51.560511
0.874165,3,51.635342
0.938876,3,51.782419
0.628076,3,51.880875
0.60245,3,52.006015
0.834825,3,52.110972
0.748432,3,52.238151
0.599745,3,52.315396
0.826952,3,52.436133
0.62964,3,52.5481
0.795516,3,52.664886
0.316226,3,52.755788
0.678532,3,52.887659
0.411503,3,52.966347
0.957791,3,53.081728
0.391727,3,88.20129
0.820468,3,88.309066
0.7563,3,88.380351
0.833629,3,88.490282
0.418681,3,88.58445
0.797931,3,88.693196
0.787342,3,88.771873
0.714897,3,88.901293
0.3334,3,88.991917
0.811533,3,89.090999
0.728217,3,89.203577
0.917407,3,89.297796
0.675751,3,89.382813
0.823814,3,89.555961
0.689303,3,89.631252
0.764555,3,89.752112
0.777774,3,89.840578
0.465157,3,89.957289
0.839762,3,90.054888
0.484792,3,90.154716
0.510804,3,90.276952
0.734291,3,90.37267
0.748196,3,90.477479
0.852062,3,90.589507
0.820824,3,90.692806
0.580698,3,90.818568
0.627393,3,90.913445
0.444699,3,91.023635
0.727564,3,91.121076
0.753611,3,91.230694
0.842446,3,91.313219
0.52588,3,91.421816
0.614751,3,91.533685
0.889941,3,91.655524
0.796018,3,91.718432
0.434582,3,91.826644
0.688322,3,91.895618
0.799802,3,92.008651
0.79216,3,92.109572
0.835633,3,92.242223
0.744884,3,92.333103
0.790939,3,92.458145
