#{"t_start": 1542043951.925764, "env_id": "DartBlockPush-v0"}
r,l,t
0.566498,3,6.793689
0.5275,3,6.892246
0.568716,3,7.007213
0.508229,3,7.107404
0.755107,3,7.212565
0.799828,3,7.289396
0.585245,3,7.370524
0.798946,3,7.485885
0.686682,3,7.590017
0.738933,3,7.698043
0.344445,3,7.799506
0.763064,3,7.907763
0.351463,3,7.987991
0.811146,3,8.102174
0.859851,3,8.176076
0.56642,3,8.279591
0.854163,3,8.391958
0.659597,3,8.508307
0.682755,3,8.607927
0.844439,3,8.684375
0.370231,3,8.796003
0.570588,3,8.873116
0.797967,3,8.973164
0.776275,3,9.061085
0.851972,3,9.176218
0.806191,3,9.269428
0.36821,3,9.383567
0.50141,3,9.480302
0.839542,3,9.558177
0.731498,3,9.706236
0.266498,3,9.844234
0.842399,3,9.964366
0.652316,3,10.057814
0.628036,3,10.153753
0.224711,3,10.261524
0.60461,3,10.358972
0.675973,3,10.447905
0.885179,3,10.533564
0.810268,3,10.611598
0.785107,3,10.696323
0.493024,3,10.782677
0.818503,3,10.876051
0.643676,3,49.745058
0.227407,3,49.831495
0.730094,3,49.934303
0.790311,3,50.027374
0.471657,3,50.144344
0.82136,3,50.220203
0.788996,3,50.313601
0.61555,3,50.388007
0.566611,3,50.514564
0.674693,3,50.602112
0.878017,3,50.735865
0.794763,3,50.807882
0.571594,3,50.928501
0.956325,3,51.013494
0.827953,3,51.107217
0.473524,3,51.186817
0.932315,3,51.315013
0.634902,3,51.404318
0.608156,3,51.526206
0.917591,3,51.694909
0.7465,3,51.808592
0.877353,3,51.902257
0.724486,3,52.029874
0.9004,3,52.13477
0.70357,3,52.230554
0.585772,3,52.331997
0.524864,3,52.456482
0.507272,3,52.549565
0.874165,3,52.649046
0.938876,3,52.770012
0.628076,3,52.896198
0.60245,3,52.994223
0.834825,3,53.124504
0.748432,3,53.225808
0.599745,3,53.327382
0.826952,3,53.422036
0.62964,3,53.563216
0.795516,3,53.653238
0.316226,3,53.766105
0.678532,3,53.875198
0.411503,3,53.979019
0.957791,3,54.069348
0.391727,3,89.215867
0.820468,3,89.297282
0.7563,3,89.39333
0.833629,3,89.479348
0.418681,3,89.596544
0.797931,3,89.683393
0.787342,3,89.784392
0.714897,3,89.889749
0.3334,3,90.005306
0.811533,3,90.076968
0.728217,3,90.217027
0.917407,3,90.287402
0.675751,3,90.394942
0.823814,3,90.544832
0.689303,3,90.644352
0.764555,3,90.741027
0.777774,3,90.852789
0.465157,3,90.944888
0.839762,3,91.068123
0.484792,3,91.143708
0.510804,3,91.289593
0.734291,3,91.362536
0.748196,3,91.494811
0.852062,3,91.578856
0.820824,3,91.707932
0.580698,3,91.806596
0.627393,3,91.925695
0.444699,3,92.012597
0.727564,3,92.134239
0.753611,3,92.220865
0.842446,3,92.325064
0.52588,3,92.410013
0.614751,3,92.547369
0.889941,3,92.645005
0.796018,3,92.731773
0.434582,3,92.81596
0.688322,3,92.908827
0.799802,3,92.997231
0.79216,3,93.125716
0.835633,3,93.23089
0.744884,3,93.346107
0.790939,3,93.446403
